id	x	y	z
1	334.6912003	510.4062636	6.3
1	346.9762345	508.1330092	6.3
1	332.8473892	431.7743056	6.3
1	320.5623551	434.0473159	6.3
2	347.2937351	508.2917595	6.3
2	368.626926	504.3444939	6.3
2	366.2825046	491.6735955	6.3
2	344.9493137	495.6210442	6.3
3	321.356096	432.4598307	5
3	331.8336351	430.7134928	5
3	330.1731737	420.7509684	5
3	319.6956956	422.4971232	5
4	339.4536748	411.3460134	10
4	341.8259282	425.4480642	10
4	358.8122564	422.5907034	10
4	356.4398809	408.4884695	10
5	347.7411504	409.9519094	10
5	338.601502	355.6224417	10
5	330.3140874	357.0168508	10
5	339.4536748	411.3460134	10
6	338.601502	355.6224417	10
6	347.7411504	409.9519094	10
6	353.4301763	408.9948782	10
6	344.2905889	354.6654714	10
7	385.649964	418.6484635	10
7	402.0012467	415.7909578	10
7	399.4667884	401.288224	10
7	383.1155057	404.1457297	10
8	338.601502	355.6224417	10
8	336.525501	343.284112	10
8	305.639804	348.4808231	10
8	307.7158049	360.8191528	10
9	338.601502	355.6224417	10
9	385.8583989	347.671174	10
9	383.782398	335.3328444	10
9	336.525501	343.284112	10
10	390.0614957	348.0812853	10
10	383.1152171	349.25004	10
10	391.9702011	401.8780093	10
10	398.9164797	400.7092546	10
11	382.8988373	349.1598688	10
11	378.1664988	349.9561143	10
11	387.0265114	402.61397	10
11	391.7588499	401.8177245	10
12	374.1797819	349.6361742	10
12	372.1046051	349.9853356	10
12	377.500781	382.0565153	10
12	379.5759579	381.7073539	10
13	307.7158049	360.8191528	10
13	307.9261705	362.0694219	10
13	330.5244164	358.2671261	10
13	330.3140509	357.016857	10
14	383.782398	335.3328444	14
14	378.8017203	305.7311023	14
14	367.0497185	307.7084499	14
14	372.0303962	337.310192	14
15	305.639804	348.4808231	14
15	316.6721437	346.6245632	14
15	312.0162751	318.9532641	14
15	300.9839354	320.809524	14
16	312.0162751	318.9532641	10
16	316.6721437	346.6245632	10
16	372.0303962	337.310192	10
16	367.3745276	309.6388929	10
17	377.633073	300.8292695	13.6
17	401.0487448	296.1990519	13.6
17	398.582728	283.7280524	13.6
17	375.1670561	288.35827	13.6
18	398.582728	283.7280524	13.6
18	396.6492274	273.9500637	13.6
18	375.1195263	278.2073493	13.6
18	377.0530269	287.9853379	13.6
19	396.6492274	273.9500637	6
19	395.3638776	267.4498663	6
19	378.4268246	270.7990011	6
19	379.7121743	277.2991985	6
20	395.3638776	267.4498663	5
20	393.648703	258.7759834	5
20	374.3257747	262.5969014	5
20	376.0409493	271.2707844	5
21	393.648703	258.7759834	11.3
21	391.4715592	247.7658559	11.3
21	367.3143023	252.5427146	11.3
21	369.4914462	263.552842	11.3
22	367.5788862	245.5047839	13
22	392.7562778	241.8722249	13
22	389.5393468	219.5755653	13
22	364.3619552	223.2081243	13
23	363.8797829	223.1634334	3
23	357.4116755	224.0966429	3
23	359.2914899	237.1257012	3
23	365.7595973	236.1924917	3
24	357.0034436	224.8216089	13
24	342.9182888	226.8537954	13
24	346.0509407	248.5663136	13
24	360.1360955	246.5341271	13
25	339.4545968	229.7213602	13
25	336.6847613	230.1209882	13
25	339.0153665	246.2744931	13
25	341.785202	245.8748651	13
26	358.1861591	283.6313184	3
26	363.7424202	282.7052749	3
26	362.2085489	273.5020471	3
26	356.6522878	274.4280906	3
27	399.0379075	373.0342056	3.5
27	410.4700435	370.6525106	3.5
27	403.800417	338.6383035	3.5
27	392.368281	341.0199985	3.5
28	408.324801	473.073364	8
28	437.0850631	467.1108706	8
28	425.840249	412.8711788	8
28	397.0799869	418.8336722	8
29	444.4404983	491.5942344	10
29	408.0909138	499.6346955	10
29	419.3050313	550.3318519	10
29	455.6546158	542.2913908	10
30	455.6546158	542.2913908	10
30	428.6949435	548.2548206	10
30	429.3592181	551.2578954	10
30	456.3188904	545.2944655	10
31	456.3188904	545.2944655	3.5
31	440.3195402	548.8334923	3.5
31	441.2654919	553.1099824	3.5
31	457.2648421	549.5709556	3.5
32	415.7331492	497.9442471	3.5
32	444.4404983	491.5942344	3.5
32	443.5295151	487.4758314	3.5
32	414.822166	493.8258442	3.5
33	413.6164783	531.0172299	6.3
33	386.423992	533.342903	6.3
33	388.1437871	553.4512766	6.3
33	415.3362734	551.1256034	6.3
34	471.2782679	552.4033724	14
34	493.578949	547.8052938	14
34	485.1599547	506.9731714	14
34	462.8592736	511.57125	14
35	462.8592736	511.57125	12
