id	x	y
1	390.07	214.29
1	469.88	592.35
1	476.66	590.79
1	395.82	212.83
2	272.27	233.52
2	345.88	622.03
2	354.55	620.42
2	278.73	232.24
3	208.66	609.12
3	166.32	253.17
3	160.47	254.05
3	202.49	609.81
4	194.38	486.67
4	315.35	470.33
4	314.19	462.39
4	193.63	479.5
5	575.32	181.46
5	573.99	171.21
5	163.13	240.74
5	164.8	251.03
6	533.97	591.26
6	540.32	594.44
6	595.42	466.8
6	588.41	464.39
7	586.38	464.11
7	594.85	464.53
7	577.6	184.04
7	570.98	184.97
8	579.5	352.12
8	430.16	362.54
8	430.77	371.34
8	580.11	360.92
