id	x	y	z
1	314.02	415.54	7
1	327.61	412.99	7
1	324.44	396.06	7
1	310.84	398.61	7
2	307.67	397.13	6
2	322.9	394.49	6
2	320.14	378.61	6
2	304.91	381.25	6
3	304.07	378.5	9
3	318.41	376.02	9
3	316.13	362.84	9
3	301.79	365.32	9
4	374.13	410.46	3
4	378.98	409.88	3
4	378.34	404.59	3
4	373.49	405.17	3
5	364.18	434.17	6
5	387.75	431.03	6
5	386.19	419.35	6
5	362.62	422.49	6
6	342.38	435.65	4
6	354.5	433.97	4
6	353.45	426.35	4
6	341.32	428.03	4
7	369.9	395.86	3
7	377.1	395.36	3
7	376.68	389.22	3
7	369.47	389.72	3
8	336.54	530.78	7
8	341.28	563.66	7
8	360.89	560.84	7
8	356.15	527.96	7
9	347.04	584.24	9
9	356.76	583.06	9
9	355.7	574.38	9
9	345.98	575.56	9
10	348.31	601.6	6
10	359.29	600	6
10	357.81	589.83	6
10	346.82	591.44	6
11	391.23	579.14	6
11	398.17	577.76	6
11	396.43	569	6
11	389.49	570.38	6
12	403.84	576.7	6
12	412.25	575.15	6
12	410.47	565.52	6
12	402.06	567.07	6
13	435.1	570.64	6
13	433.48	560.45	6
13	425.53	561.72	6
13	427.16	571.91	6
14	415.62	570.71	6
14	420.25	569.72	6
14	419.21	564.84	6
14	414.58	565.83	6
15	444.4	567.07	6
15	453.7	564.95	6
15	452.05	557.68	6
15	442.74	559.79	6
16	552.88	567.4	4
16	561.13	570.78	4
16	564.21	563.24	4
16	555.96	559.87	4
17	563.79	546.89	9
17	572.97	550.78	9
17	576.42	542.64	9
17	567.23	538.75	9
18	568.42	534	5
18	578.76	538.04	5
18	581.72	530.49	5
18	571.37	526.44	5
19	450.35	315.05	6
19	462.72	313.51	6
19	461.73	305.57	6
19	449.36	307.12	6
20	503.27	316.71	6
20	521.29	317.71	6
20	521.62	311.75	6
20	503.6	310.75	6
21	384.86	311.75	8
21	403.72	307.13	8
21	401.05	296.2	8
21	382.19	300.81	8
22	392.47	320.68	9
22	406.38	316.88	9
22	403.72	307.13	9
22	389.81	310.93	9
23	399.25	329.96	6
23	409.15	327.46	6
23	406.38	316.88	6
23	396.5	319.47	6
24	410.63	370.02	6
24	420.72	367.92	6
24	416.88	349.46	6
24	406.79	351.57	6
25	406.79	351.57	6
25	413.58	350.26	6
25	409.3	328.01	6
25	402.51	329.32	6
26	402.99	417.61	4
26	425.84	412.87	4
26	420.73	388.23	4
26	397.88	392.96	4
27	465.23	323.98	6
27	486.55	323.09	6
27	486.07	311.42	6
27	464.74	312.3	6
28	460.6	291.9	4
28	459.94	285.62	4
28	439.45	287.77	4
28	440.11	294.06	4
29	597.85	462.89	9
29	602.48	462.89	9
29	602.48	456.27	9
29	597.85	456.27	9
30	593.89	479.76	4
30	597.71	481.82	4
30	600.03	477.52	4
30	596.2	475.46	4
31	494.2	424.26	6
31	500.64	423.94	6
31	500.38	418.65	6
31	493.94	418.97	6
32	474.89	421.61	6
32	482.06	420.86	6
32	481.54	415.83	6
32	474.36	416.59	6
33	485.74	419.76	7
33	495.06	419.1	7
33	494.8	415.39	7
33	485.47	416.06	7
34	482.56	436.96	7
34	490.35	436.57	7
34	490.08	431.28	7
34	482.3	431.67	7
35	406.89	386.42	9
35	411.6	385.75	9
35	411.07	382.05	9
35	406.36	382.72	9
36	414.83	381.66	9
36	419.1	381.24	9
36	418.57	375.94	9
36	414.3	376.37	9
37	295.24	310.49	6
37	307.92	308.13	6
37	303.69	285.37	6
37	291	287.73	6
38	283.33	232.97	6
38	285.1	243.56	6
38	299.38	241.18	6
38	297.62	230.58	6
39	284.12	253.6	3
39	289.94	252.55	3
39	288.92	246.93	3
39	283.1	247.99	3
40	286.51	265.77	6
40	293.68	264.34	6
40	292.36	257.72	6
40	285.18	259.16	6
41	348.42	285.88	6
41	353.21	284.64	6
41	351.36	277.5	6
41	346.57	278.74	6
42	314.82	257.57	7
42	321.15	257.37	7
42	320.89	249.17	7
42	314.55	249.37	7
43	305.29	230.85	4
43	304.93	238.01	4
43	310.22	238.28	4
43	310.58	231.11	4
44	305.29	230.85	3
44	299.13	230.64	3
44	298.87	238.09	3
44	305.03	238.31	3
45	248.41	279.27	9
45	257.95	277.56	9
45	256.08	267.1	9
45	246.54	268.8	9
46	236.23	299.64	8
46	244.73	298.14	8
46	242.35	284.65	8
46	233.85	286.15	8
47	247.35	290.91	9
47	255.94	290.02	9
47	255.15	282.35	9
47	246.55	283.24	9
48	356.09	301.23	5
48	362.22	300.7	5
48	361.69	294.61	5
48	355.56	295.14	5
49	375.12	278.21	5
49	376.04	271.27	5
49	368.46	270.26	5
49	367.54	277.2	5
50	357.68	257.04	5
50	364.49	258.02	5
50	365.55	250.61	5
50	358.74	249.63	5
51	317.46	307.05	9
51	322.46	308.72	9
51	323.79	304.75	9
51	318.78	303.08	9
52	316.67	298.05	6
52	322.78	297.83	6
52	322.52	290.68	6
52	316.4	290.91	6
53	312.96	267.1	7
53	318	266.85	7
53	317.74	261.55	7
53	312.7	261.81	7
54	315.61	272.92	6
54	316.08	281.39	6
54	320.84	281.12	6
54	320.37	272.65	6
55	215.07	344.09	6
55	214.01	336.95	6
55	204.27	338.39	6
55	205.33	345.53	6
56	205.54	356.79	5
56	217.71	354.41	5
56	216.36	347.49	5
56	204.19	349.87	5
57	250.26	385.37	4
57	260.43	382.97	4
57	258.32	373.98	4
57	248.14	376.37	4
58	260.43	382.97	4
58	267.75	381.25	4
58	265.63	372.26	4
58	258.32	373.98	4
59	258.32	373.98	5
59	265.63	372.26	5
59	264.49	367.39	5
59	257.17	369.11	5
60	252.37	361.82	4
60	260.05	360.23	4
60	258.61	353.27	4
60	250.93	354.85	4
61	250.93	354.85	4
61	260.24	353.18	4
61	258.86	345.48	4
61	249.55	347.16	4
62	238.35	367.64	3
62	244.44	366.05	3
62	242.71	359.43	3
62	236.62	361.02	3
63	229.16	554.77	7
63	231.41	573.04	7
63	248.6	570.93	7
63	246.35	552.65	7
64	232.07	576.99	6
64	233.1	587.53	6
64	246.59	586.2	6
64	245.56	575.67	6
65	301.39	580.17	4
65	302.79	588.39	4
65	313.64	586.54	4
65	312.24	578.31	4
66	586.59	512.64	7
66	580.51	509.99	7
66	578.31	515.04	7
66	584.38	517.69	7
67	594.28	495.02	6
67	586.54	491.64	6
67	583.89	497.7	6
67	591.63	501.08	6
68	285.97	529.21	6
68	291.87	528.7	6
68	291.03	519.08	6
68	285.14	519.59	6
69	461.26	280.39	3
69	465.03	279.9	3
69	462.65	261.64	3
69	458.88	262.13	3
70	462.14	573.86	5
70	460.04	563.65	5
70	453.7	564.95	5
70	455.8	575.16	5
71	223.92	522.12	5
71	222.86	513.91	5
71	213.29	515.15	5
71	214.35	523.36	5
72	563.9	267.69	2
72	569.19	267.69	2
72	569.19	261.41	2
72	563.9	261.41	2
